Date,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
8/24/2016,0.28,N/A,0.31,0.46,0.59,0.76,0.87,1.13,1.4,1.56,1.89,2.24
8/25/2016,0.28,N/A,0.33,0.46,0.6,0.78,0.89,1.16,1.43,1.58,1.91,2.27
8/26/2016,0.28,N/A,0.34,0.47,0.62,0.84,0.96,1.23,1.49,1.62,1.96,2.29
8/29/2016,0.25,N/A,0.33,0.49,0.62,0.81,0.92,1.18,1.43,1.57,1.9,2.22
8/30/2016,0.23,N/A,0.33,0.47,0.61,0.8,0.92,1.18,1.44,1.57,1.91,2.23
8/31/2016,0.26,N/A,0.33,0.47,0.61,0.8,0.92,1.19,1.45,1.58,1.9,2.23
9/1/2016,0.27,N/A,0.33,0.47,0.6,0.78,0.91,1.18,1.44,1.57,1.9,2.23
9/2/2016,0.25,N/A,0.33,0.45,0.59,0.8,0.92,1.2,1.47,1.6,1.95,2.28
9/6/2016,0.24,N/A,0.32,0.45,0.56,0.74,0.86,1.13,1.4,1.55,1.9,2.24
9/7/2016,0.25,N/A,0.34,0.49,0.57,0.74,0.86,1.12,1.39,1.54,1.89,2.23
9/8/2016,0.26,N/A,0.35,0.5,0.57,0.78,0.91,1.19,1.46,1.61,1.98,2.32
9/9/2016,0.24,N/A,0.35,0.51,0.58,0.79,0.93,1.23,1.51,1.67,2.05,2.39
9/12/2016,0.24,N/A,0.37,0.53,0.57,0.79,0.92,1.21,1.5,1.68,2.05,2.4
9/13/2016,0.25,N/A,0.36,0.54,0.63,0.8,0.95,1.26,1.56,1.73,2.12,2.47
9/14/2016,0.24,N/A,0.33,0.52,0.62,0.77,0.9,1.21,1.52,1.7,2.1,2.44
9/15/2016,0.2,N/A,0.29,0.49,0.6,0.74,0.87,1.2,1.51,1.71,2.13,2.48
9/16/2016,0.2,N/A,0.3,0.5,0.61,0.77,0.91,1.21,1.51,1.7,2.1,2.44
9/19/2016,0.16,N/A,0.3,0.48,0.6,0.79,0.92,1.22,1.52,1.7,2.1,2.45
9/20/2016,0.17,N/A,0.3,0.49,0.61,0.79,0.93,1.2,1.5,1.69,2.09,2.43
9/21/2016,0.12,N/A,0.22,0.44,0.61,0.79,0.92,1.2,1.48,1.66,2.06,2.39
9/22/2016,0.1,N/A,0.18,0.39,0.6,0.79,0.91,1.18,1.46,1.63,2.02,2.34
9/23/2016,0.09,N/A,0.18,0.4,0.6,0.77,0.9,1.16,1.44,1.62,2.02,2.34
9/26/2016,0.12,N/A,0.25,0.42,0.58,0.76,0.87,1.13,1.41,1.59,2,2.32
9/27/2016,0.16,N/A,0.26,0.42,0.58,0.75,0.86,1.12,1.39,1.56,1.96,2.28
9/28/2016,0.14,N/A,0.27,0.44,0.6,0.75,0.87,1.13,1.41,1.57,1.96,2.29
9/29/2016,0.12,N/A,0.26,0.43,0.59,0.73,0.85,1.12,1.39,1.56,1.95,2.28
9/30/2016,0.2,N/A,0.29,0.45,0.59,0.77,0.88,1.14,1.42,1.6,1.99,2.32
10/3/2016,0.25,N/A,0.32,0.48,0.63,0.8,0.91,1.18,1.46,1.63,2.01,2.34
10/4/2016,0.28,N/A,0.33,0.48,0.64,0.82,0.95,1.22,1.51,1.69,2.08,2.4
10/5/2016,0.26,N/A,0.32,0.48,0.65,0.85,0.98,1.26,1.54,1.72,2.11,2.44
10/6/2016,0.26,N/A,0.33,0.46,0.65,0.86,1,1.28,1.58,1.75,2.14,2.46
10/7/2016,0.26,N/A,0.33,0.46,0.66,0.83,0.99,1.26,1.55,1.73,2.14,2.46
10/11/2016,0.27,N/A,0.35,0.48,0.69,0.87,1.03,1.3,1.58,1.77,2.17,2.5
10/12/2016,0.26,N/A,0.37,0.49,0.68,0.87,0.99,1.31,1.6,1.79,2.19,2.51
10/13/2016,0.26,N/A,0.3,0.45,0.66,0.85,1,1.27,1.56,1.75,2.15,2.48
10/14/2016,0.26,N/A,0.32,0.46,0.66,0.84,1,1.28,1.58,1.8,2.22,2.55
10/17/2016,0.24,N/A,0.34,0.47,0.65,0.81,0.98,1.26,1.56,1.77,2.19,2.52
